CustomerID,PersonID,StoreID,TerritoryID,SalesPersonID
1,,934.0,1,280.0
2,,1028.0,1,283.0
3,,642.0,4,277.0
4,,932.0,4,277.0
5,,1026.0,4,281.0
6,,644.0,4,276.0
7,,930.0,1,281.0
8,,1024.0,5,279.0
9,,620.0,5,279.0
10,,928.0,6,282.0
11,,1022.0,6,282.0
12,,622.0,6,278.0
13,,434.0,7,290.0
14,,1020.0,8,288.0
15,,624.0,9,286.0
16,,432.0,10,289.0
17,,1018.0,5,275.0
18,,1332.0,3,275.0
19,,430.0,1,280.0
20,,1016.0,1,283.0
21,,1334.0,4,277.0
22,,494.0,3,277.0
23,,1014.0,4,281.0
24,,1336.0,4,276.0
25,,492.0,4,281.0
26,,1012.0,5,279.0
27,,1338.0,5,279.0
28,,490.0,6,282.0
29,,1010.0,6,282.0
30,,1340.0,6,278.0
31,,942.0,7,290.0
32,,1008.0,8,288.0
33,,1342.0,9,286.0
34,,940.0,10,289.0
35,,1006.0,2,275.0
36,,1344.0,2,275.0
37,,938.0,1,280.0
38,,1004.0,1,283.0
39,,1346.0,3,277.0
40,,936.0,4,277.0
41,,1002.0,4,281.0
42,,1348.0,4,276.0
43,,1290.0,1,281.0
44,,1000.0,5,279.0
45,,1350.0,5,279.0
46,,1288.0,6,282.0
47,,998.0,6,282.0
48,,1352.0,6,278.0
49,,1286.0,7,290.0
50,,996.0,8,288.0
51,,1354.0,9,286.0
52,,1284.0,10,289.0
53,,994.0,2,275.0
54,,1356.0,2,275.0
55,,1282.0,1,280.0
56,,992.0,1,283.0
57,,1358.0,3,277.0
58,,1280.0,3,277.0
59,,990.0,4,281.0
60,,1360.0,4,276.0
61,,1278.0,4,281.0
62,,988.0,5,279.0
63,,1362.0,5,279.0
64,,1276.0,6,282.0
65,,986.0,6,282.0
66,,782.0,6,278.0
67,,1274.0,7,290.0
68,,532.0,8,288.0
69,,784.0,9,286.0
70,,1272.0,10,289.0
71,,530.0,2,275.0
72,,786.0,2,275.0
73,,1270.0,1,280.0
74,,528.0,1,283.0
75,,788.0,4,277.0
76,,1268.0,3,277.0
77,,556.0,4,281.0
78,,790.0,4,276.0
79,,1266.0,3,281.0
80,,554.0,5,279.0
81,,792.0,5,279.0
82,,1264.0,6,282.0
83,,552.0,6,282.0
84,,794.0,6,278.0
85,,1262.0,7,290.0
86,,636.0,8,288.0
87,,796.0,9,286.0
88,,1260.0,10,289.0
89,,634.0,2,275.0
90,,798.0,5,275.0
91,,1258.0,1,280.0
92,,632.0,1,283.0
93,,800.0,4,277.0
94,,1256.0,4,277.0
95,,630.0,4,281.0
96,,1308.0,4,276.0
97,,1254.0,4,281.0
98,,734.0,5,279.0
99,,1310.0,5,279.0
100,,1252.0,6,282.0
101,,732.0,6,282.0
102,,1312.0,6,278.0
103,,1894.0,7,290.0
104,,730.0,8,288.0
105,,1314.0,9,286.0
106,,1892.0,10,289.0
107,,728.0,2,275.0
108,,1316.0,2,275.0
109,,1890.0,1,280.0
110,,1888.0,1,283.0
111,,726.0,3,277.0
112,,1318.0,4,277.0
113,,1886.0,4,281.0
114,,724.0,4,276.0
115,,1320.0,1,281.0
116,,1884.0,5,279.0
117,,722.0,5,279.0
118,,1322.0,6,282.0
119,,1882.0,6,282.0
120,,720.0,6,278.0
121,,1324.0,7,290.0
122,,1880.0,8,288.0
123,,718.0,9,286.0
124,,1326.0,10,289.0
125,,1878.0,2,275.0
126,,716.0,2,275.0
127,,1328.0,1,280.0
128,,1876.0,1,283.0
129,,714.0,3,277.0
130,,1330.0,4,277.0
131,,1874.0,4,281.0
132,,712.0,3,276.0
133,,978.0,4,281.0
134,,1872.0,5,279.0
135,,710.0,5,279.0
136,,980.0,6,282.0
137,,418.0,6,282.0
138,,708.0,6,278.0
139,,982.0,7,290.0
140,,416.0,8,288.0
141,,706.0,9,286.0
142,,984.0,10,289.0
143,,520.0,2,275.0
144,,704.0,2,275.0
145,,522.0,1,280.0
146,,518.0,1,283.0
147,,702.0,3,277.0
148,,524.0,3,277.0
149,,516.0,3,281.0
150,,700.0,4,276.0
151,,526.0,4,281.0
152,,650.0,5,279.0
153,,514.0,5,279.0
154,,626.0,6,282.0
155,,648.0,6,282.0
156,,512.0,6,278.0
157,,628.0,7,290.0
158,,646.0,8,288.0
159,,456.0,9,286.0
160,,658.0,10,289.0
161,,820.0,2,275.0
162,,454.0,2,275.0
163,,660.0,1,280.0
164,,818.0,1,283.0
165,,506.0,4,277.0
166,,662.0,4,277.0
167,,816.0,4,281.0
168,,504.0,4,276.0
169,,804.0,1,281.0
170,,814.0,5,279.0
171,,502.0,5,279.0
172,,806.0,6,282.0
173,,812.0,6,282.0
174,,500.0,6,278.0
175,,808.0,7,290.0
176,,446.0,8,288.0
177,,688.0,9,286.0
178,,810.0,10,289.0
179,,444.0,2,275.0
180,,686.0,3,275.0
181,,1292.0,1,280.0
182,,442.0,1,283.0
183,,684.0,3,277.0
184,,1294.0,4,277.0
185,,1196.0,4,281.0
186,,682.0,4,276.0
187,,1296.0,4,281.0
188,,1194.0,5,279.0
189,,680.0,5,279.0
190,,1298.0,6,282.0
191,,1192.0,6,282.0
192,,678.0,6,278.0
193,,1300.0,7,290.0
194,,1190.0,8,288.0
195,,676.0,9,286.0
196,,1302.0,10,289.0
197,,1188.0,3,275.0
198,,452.0,3,275.0
199,,1304.0,1,280.0
200,,1186.0,1,283.0
201,,450.0,4,277.0
202,,1306.0,4,277.0
203,,1184.0,4,281.0
204,,448.0,4,276.0
205,,1404.0,4,281.0
206,,1182.0,5,279.0
207,,414.0,5,279.0
208,,1406.0,6,282.0
209,,1180.0,6,282.0
210,,412.0,6,278.0
211,,1408.0,7,290.0
212,,1178.0,8,288.0
213,,410.0,9,286.0
214,,1410.0,10,289.0
215,,1176.0,2,275.0
216,,544.0,2,275.0
217,,1412.0,1,280.0
218,,1174.0,1,283.0
219,,1172.0,3,277.0
220,,542.0,3,277.0
221,,1414.0,4,281.0
222,,1170.0,3,276.0
223,,1158.0,3,281.0
224,,1416.0,5,279.0
225,,1168.0,5,279.0
226,,1156.0,6,282.0
227,,1418.0,6,282.0
228,,1166.0,6,278.0
229,,1154.0,7,290.0
230,,1420.0,8,288.0
231,,550.0,9,286.0
232,,1152.0,10,289.0
233,,1422.0,2,275.0
234,,548.0,2,275.0
235,,1150.0,1,280.0
236,,1424.0,1,283.0
237,,546.0,3,277.0
238,,1148.0,3,277.0
239,,1426.0,4,281.0
240,,1956.0,4,276.0
241,,1146.0,4,281.0
242,,1428.0,5,279.0
243,,1954.0,5,279.0
244,,1144.0,6,282.0
245,,1430.0,6,282.0
246,,1952.0,6,278.0
247,,1142.0,7,290.0
248,,1432.0,8,288.0
249,,1950.0,9,286.0
250,,1140.0,10,289.0
251,,1434.0,2,275.0
252,,1948.0,2,275.0
253,,1138.0,1,280.0
254,,472.0,1,283.0
255,,1946.0,4,277.0
256,,1136.0,4,277.0
257,,474.0,4,281.0
258,,1944.0,4,276.0
259,,1134.0,4,281.0
260,,476.0,5,279.0
261,,1942.0,5,279.0
262,,1132.0,6,282.0
263,,580.0,6,282.0
264,,1940.0,6,278.0
265,,590.0,7,290.0
266,,582.0,8,288.0
267,,1938.0,9,286.0
268,,588.0,10,289.0
269,,584.0,2,275.0
270,,1936.0,2,275.0
271,,586.0,1,280.0
272,,612.0,1,283.0
273,,1934.0,4,277.0
274,,952.0,3,277.0
275,,614.0,4,281.0
276,,1932.0,4,276.0
277,,950.0,4,281.0
278,,616.0,5,279.0
279,,1930.0,5,279.0
280,,948.0,6,282.0
281,,618.0,6,282.0
282,,1928.0,6,278.0
283,,946.0,7,290.0
284,,758.0,8,288.0
285,,408.0,9,286.0
286,,944.0,10,289.0
287,,760.0,3,275.0
288,,406.0,3,275.0
289,,498.0,1,280.0
290,,762.0,1,283.0
291,,398.0,4,277.0
292,,496.0,4,277.0
293,,764.0,1,281.0
294,,396.0,4,276.0
295,,1490.0,4,281.0
296,,766.0,5,279.0
297,,394.0,5,279.0
298,,1488.0,6,282.0
299,,768.0,6,282.0
300,,386.0,6,278.0
301,,1486.0,7,290.0
302,,770.0,8,288.0
303,,384.0,9,286.0
304,,1484.0,10,289.0
305,,772.0,2,275.0
306,,382.0,3,275.0
307,,1482.0,1,280.0
308,,774.0,1,283.0
309,,372.0,4,277.0
310,,1480.0,3,277.0
311,,776.0,4,281.0
312,,370.0,4,276.0
313,,1478.0,4,281.0
314,,778.0,5,279.0
315,,440.0,5,279.0
316,,1476.0,6,282.0
317,,780.0,6,282.0
318,,438.0,6,278.0
319,,1474.0,7,290.0
320,,538.0,8,288.0
321,,436.0,9,286.0
322,,1472.0,10,289.0
323,,540.0,3,275.0
324,,2051.0,2,275.0
325,,1470.0,1,280.0
326,,964.0,1,283.0
327,,1994.0,3,277.0
328,,1992.0,4,277.0
329,,470.0,4,281.0
330,,966.0,4,276.0
331,,1990.0,4,281.0
332,,468.0,5,279.0
333,,968.0,5,279.0
334,,1988.0,6,282.0
335,,466.0,6,282.0
336,,970.0,6,278.0
337,,1986.0,7,290.0
338,,578.0,8,288.0
339,,972.0,9,286.0
340,,1984.0,10,289.0
341,,576.0,2,275.0
342,,974.0,2,275.0
343,,1982.0,1,280.0
344,,574.0,1,283.0
345,,976.0,4,277.0
346,,1980.0,3,277.0
347,,572.0,4,281.0
348,,348.0,3,276.0
349,,1978.0,4,281.0
350,,610.0,5,279.0
351,,354.0,5,279.0
352,,1236.0,6,282.0
353,,608.0,6,282.0
354,,356.0,6,278.0
355,,1234.0,7,290.0
356,,606.0,8,288.0
357,,358.0,9,286.0
358,,1232.0,10,289.0
359,,604.0,2,275.0
360,,360.0,3,275.0
361,,1230.0,1,280.0
362,,756.0,1,283.0
363,,374.0,3,277.0
364,,1228.0,3,277.0
365,,754.0,4,281.0
366,,376.0,4,276.0
367,,1226.0,4,281.0
368,,752.0,5,279.0
369,,362.0,5,279.0
370,,1224.0,6,282.0
371,,750.0,6,282.0
372,,1852.0,6,278.0
373,,1222.0,7,290.0
374,,748.0,8,288.0
375,,1854.0,9,286.0
376,,1220.0,10,289.0
377,,746.0,3,275.0
378,,1856.0,2,275.0
379,,1218.0,1,280.0
380,,744.0,1,283.0
381,,1858.0,3,277.0
382,,1216.0,4,277.0
383,,742.0,4,281.0
384,,1860.0,4,276.0
385,,1214.0,4,281.0
386,,740.0,5,279.0
387,,1862.0,5,279.0
388,,1212.0,6,282.0
389,,738.0,6,282.0
390,,1864.0,6,278.0
391,,1210.0,7,290.0
392,,736.0,8,288.0
393,,1866.0,9,286.0
394,,1208.0,10,289.0
395,,560.0,3,275.0
396,,1868.0,2,275.0
397,,1206.0,1,280.0
398,,558.0,1,283.0
399,,1870.0,4,277.0
400,,1110.0,3,277.0
